word,score,sources,cefr_rank,taiwan_rank,corpus_rank
cup,0.8755,"CEFR,Corpus,Taiwan",4.0,944,1822
error,0.8753,"CEFR,Corpus,Taiwan",4.0,1320,899
enough,0.8751,"CEFR,Corpus,Taiwan",4.0,1296,963
employment,0.8749,"CEFR,Corpus,Taiwan",4.0,1274,1024
distance,0.8749,"CEFR,Corpus,Taiwan",4.0,1136,1368
general,0.8747,"CEFR,Corpus,Taiwan",4.0,1615,191
comparison,0.8746,"CEFR,Corpus,Taiwan",4.0,780,2255
form,0.8745,"CEFR,Corpus,Taiwan",4.0,1545,368
go,0.8743,"CEFR,Corpus,Taiwan",4.0,1647,123
clearly,0.8742,"CEFR,Corpus,Taiwan",4.0,701,2463
food,0.8741,"CEFR,Corpus,Taiwan",4.0,1531,418
everything,0.874,"CEFR,Corpus,Taiwan",4.0,1346,878
detailed,0.8739,"CEFR,Corpus,Taiwan",4.0,1063,1579
blonde,0.8739,"CEFR,Corpus,Taiwan",4.0,424,3160
aged,0.8738,"CEFR,Corpus,Taiwan",4.0,96,3972
february,0.8738,"CEFR,Corpus,Taiwan",4.0,1458,609
count,0.8737,"CEFR,Corpus,Taiwan",4.0,891,2011
engine,0.8737,"CEFR,Corpus,Taiwan",4.0,1287,1034
few,0.8737,"CEFR,Corpus,Taiwan",4.0,1473,575
financial,0.8736,"CEFR,Corpus,Taiwan",4.0,1493,526
field,0.8735,"CEFR,Corpus,Taiwan",4.0,1475,574
environmental,0.8729,"CEFR,Corpus,Taiwan",4.0,1315,990
editor,0.8729,"CEFR,Corpus,Taiwan",4.0,1222,1220
entry,0.8728,"CEFR,Corpus,Taiwan",4.0,1312,1000
good,0.8728,"CEFR,Corpus,Taiwan",4.0,1654,155
chairman,0.8723,"CEFR,Corpus,Taiwan",4.0,624,2719
game,0.8721,"CEFR,Corpus,Taiwan",4.0,1604,305
cultural,0.8719,"CEFR,Corpus,Taiwan",4.0,941,1947
anniversary,0.8716,"CEFR,Corpus,Taiwan",4.0,171,3860
biology,0.8716,"CEFR,Corpus,Taiwan",4.0,407,3279
device,0.8715,"CEFR,Corpus,Taiwan",4.0,1073,1634
completely,0.8715,"CEFR,Corpus,Taiwan",4.0,788,2339
crime,0.8715,"CEFR,Corpus,Taiwan",4.0,922,2010
attend,0.8711,"CEFR,Corpus,Taiwan",4.0,281,3607
have,0.8709,"CEFR,Corpus,Taiwan",4.0,1732,26
definition,0.8708,"CEFR,Corpus,Taiwan",4.0,1021,1786
door,0.8706,"CEFR,Corpus,Taiwan",4.0,1160,1449
earth,0.8705,"CEFR,Corpus,Taiwan",4.0,1209,1333
absolute,0.8702,"CEFR,Corpus,Taiwan",4.0,10,4304
he,0.87,"CEFR,Corpus,Taiwan",4.0,1734,53
fact,0.8698,"CEFR,Corpus,Taiwan",4.0,1412,854
group,0.8696,"CEFR,Corpus,Taiwan",4.0,1687,181
film,0.8695,"CEFR,Corpus,Taiwan",4.0,1488,677
great,0.8693,"CEFR,Corpus,Taiwan",4.0,1680,209
border,0.869,"CEFR,Corpus,Taiwan",4.0,441,3282
demand,0.8688,"CEFR,Corpus,Taiwan",4.0,1031,1829
covered,0.8686,"CEFR,Corpus,Taiwan",4.0,906,2146
friend,0.8684,"CEFR,Corpus,Taiwan",4.0,1573,503
corner,0.8684,"CEFR,Corpus,Taiwan",4.0,879,2218
help,0.8679,"CEFR,Corpus,Taiwan",4.0,1753,76
far,0.8679,"CEFR,Corpus,Taiwan",4.0,1436,860
health,0.8678,"CEFR,Corpus,Taiwan",4.0,1737,117
actor,0.8678,"CEFR,Corpus,Taiwan",4.0,50,4288
exchange,0.8677,"CEFR,Corpus,Taiwan",4.0,1361,1050
fast,0.8675,"CEFR,Corpus,Taiwan",4.0,1444,852
federal,0.8674,"CEFR,Corpus,Taiwan",4.0,1459,817
alarm,0.8674,"CEFR,Corpus,Taiwan",4.0,111,4148
detail,0.8674,"CEFR,Corpus,Taiwan",4.0,1062,1799
certainly,0.8673,"CEFR,Corpus,Taiwan",4.0,620,2894
cap,0.8673,"CEFR,Corpus,Taiwan",4.0,565,3032
die,0.8669,"CEFR,Corpus,Taiwan",4.0,1083,1763
home,0.8666,"CEFR,Corpus,Taiwan",4.0,1787,33
four,0.8666,"CEFR,Corpus,Taiwan",4.0,1558,600
face,0.8665,"CEFR,Corpus,Taiwan",4.0,1408,973
behalf,0.8665,"CEFR,Corpus,Taiwan",4.0,373,3531
government,0.8665,"CEFR,Corpus,Taiwan",4.0,1660,353
his,0.8664,"CEFR,Corpus,Taiwan",4.0,1776,67
her,0.8657,"CEFR,Corpus,Taiwan",4.0,1757,138
counter,0.8657,"CEFR,Corpus,Taiwan",4.0,892,2277
concept,0.8656,"CEFR,Corpus,Taiwan",4.0,798,2511
executive,0.8656,"CEFR,Corpus,Taiwan",4.0,1369,1102
feel,0.8655,"CEFR,Corpus,Taiwan",4.0,1463,873
final,0.8651,"CEFR,Corpus,Taiwan",4.0,1490,820
finance,0.8646,"CEFR,Corpus,Taiwan",4.0,1492,830
i,0.8645,"CEFR,Corpus,Taiwan",4.0,1823,14
bound,0.8644,"CEFR,Corpus,Taiwan",4.0,453,3403
diet,0.8644,"CEFR,Corpus,Taiwan",4.0,1086,1839
high,0.8643,"CEFR,Corpus,Taiwan",4.0,1765,164
guide,0.8642,"CEFR,Corpus,Taiwan",4.0,1695,342
difference,0.8642,"CEFR,Corpus,Taiwan",4.0,1087,1845
bargain,0.8641,"CEFR,Corpus,Taiwan",4.0,338,3697
beer,0.864,"CEFR,Corpus,Taiwan",4.0,369,3624
bowl,0.8638,"CEFR,Corpus,Taiwan",4.0,454,3423
determine,0.8637,"CEFR,Corpus,Taiwan",4.0,1066,1914
how,0.8633,"CEFR,Corpus,Taiwan",4.0,1810,87
if,0.8633,"CEFR,Corpus,Taiwan",4.0,1831,37
colour,0.8632,"CEFR,Corpus,Taiwan",4.0,737,2742
angle,0.8632,"CEFR,Corpus,Taiwan",4.0,165,4157
ensure,0.8627,"CEFR,Corpus,Taiwan",4.0,1298,1372
everyone,0.8625,"CEFR,Corpus,Taiwan",4.0,1345,1263
future,0.8623,"CEFR,Corpus,Taiwan",4.0,1600,641
in,0.8622,"CEFR,Corpus,Taiwan",4.0,1858,6
give,0.8621,"CEFR,Corpus,Taiwan",4.0,1637,555
difficult,0.8615,"CEFR,Corpus,Taiwan",4.0,1090,1928
abroad,0.8614,"CEFR,Corpus,Taiwan",4.0,7,4605
figure,0.8614,"CEFR,Corpus,Taiwan",4.0,1483,958
gift,0.8614,"CEFR,Corpus,Taiwan",4.0,1632,591
driver,0.8614,"CEFR,Corpus,Taiwan",4.0,1184,1698
alive,0.8613,"CEFR,Corpus,Taiwan",4.0,117,4337
evidence,0.861,"CEFR,Corpus,Taiwan",4.0,1348,1306
garden,0.861,"CEFR,Corpus,Taiwan",4.0,1609,662
conduct,0.8609,"CEFR,Corpus,Taiwan",4.0,808,2645
combination,0.8608,"CEFR,Corpus,Taiwan",4.0,742,2810
especially,0.8607,"CEFR,Corpus,Taiwan",4.0,1322,1379
fun,0.8605,"CEFR,Corpus,Taiwan",4.0,1588,731
dictionary,0.8604,"CEFR,Corpus,Taiwan",4.0,1081,1985
clothes,0.8603,"CEFR,Corpus,Taiwan",4.0,717,2888
absence,0.8603,"CEFR,Corpus,Taiwan",4.0,8,4642
damage,0.8602,"CEFR,Corpus,Taiwan",4.0,970,2266
discuss,0.8602,"CEFR,Corpus,Taiwan",4.0,1122,1892
criminal,0.8602,"CEFR,Corpus,Taiwan",4.0,923,2384
hotel,0.8601,"CEFR,Corpus,Taiwan",4.0,1803,211
boot,0.8601,"CEFR,Corpus,Taiwan",4.0,440,3579
fire,0.8601,"CEFR,Corpus,Taiwan",4.0,1500,960
further,0.8599,"CEFR,Corpus,Taiwan",4.0,1599,724
clock,0.8595,"CEFR,Corpus,Taiwan",4.0,711,2929
entire,0.8593,"CEFR,Corpus,Taiwan",4.0,1308,1462
him,0.8591,"CEFR,Corpus,Taiwan",4.0,1772,321
front,0.8591,"CEFR,Corpus,Taiwan",4.0,1581,794
comfort,0.8589,"CEFR,Corpus,Taiwan",4.0,757,2835
excellent,0.8588,"CEFR,Corpus,Taiwan",4.0,1358,1353
adequate,0.8588,"CEFR,Corpus,Taiwan",4.0,63,4555
diamond,0.8587,"CEFR,Corpus,Taiwan",4.0,1079,2048
acceptable,0.8587,"CEFR,Corpus,Taiwan",4.0,18,4670
appointment,0.8586,"CEFR,Corpus,Taiwan",4.0,209,4202
apart,0.8584,"CEFR,Corpus,Taiwan",4.0,194,4244
history,0.8583,"CEFR,Corpus,Taiwan",4.0,1778,335
information,0.8581,"CEFR,Corpus,Taiwan",4.0,1896,49
appearance,0.8581,"CEFR,Corpus,Taiwan",4.0,202,4235
broad,0.858,"CEFR,Corpus,Taiwan",4.0,494,3516
define,0.8577,"CEFR,Corpus,Taiwan",4.0,1017,2233
fall,0.8575,"CEFR,Corpus,Taiwan",4.0,1425,1232
house,0.8572,"CEFR,Corpus,Taiwan",4.0,1807,297
god,0.8572,"CEFR,Corpus,Taiwan",4.0,1649,690
electric,0.8571,"CEFR,Corpus,Taiwan",4.0,1244,1693
function,0.8567,"CEFR,Corpus,Taiwan",4.0,1589,853
contain,0.8565,"CEFR,Corpus,Taiwan",4.0,844,2700
economy,0.8564,"CEFR,Corpus,Taiwan",4.0,1218,1779
bathroom,0.8559,"CEFR,Corpus,Taiwan",4.0,348,3946
fine,0.8558,"CEFR,Corpus,Taiwan",4.0,1496,1114
express,0.8557,"CEFR,Corpus,Taiwan",4.0,1395,1365
climate,0.8556,"CEFR,Corpus,Taiwan",4.0,707,3069
chemistry,0.8556,"CEFR,Corpus,Taiwan",4.0,661,3184
force,0.8556,"CEFR,Corpus,Taiwan",4.0,1536,1022
cancel,0.8555,"CEFR,Corpus,Taiwan",4.0,559,3439
gold,0.8554,"CEFR,Corpus,Taiwan",4.0,1652,740
connected,0.8552,"CEFR,Corpus,Taiwan",4.0,825,2792
hard,0.8549,"CEFR,Corpus,Taiwan",4.0,1718,596
extra,0.8548,"CEFR,Corpus,Taiwan",4.0,1402,1378
enjoy,0.8548,"CEFR,Corpus,Taiwan",4.0,1292,1650
feature,0.8546,"CEFR,Corpus,Taiwan",4.0,1454,1259
hand,0.8542,"CEFR,Corpus,Taiwan",4.0,1707,644
female,0.8542,"CEFR,Corpus,Taiwan",4.0,1468,1236
doctor,0.854,"CEFR,Corpus,Taiwan",4.0,1148,2034
candidate,0.854,"CEFR,Corpus,Taiwan",4.0,561,3485
it,0.8536,"CEFR,Corpus,Taiwan",4.0,1970,16
apparently,0.8535,"CEFR,Corpus,Taiwan",4.0,199,4395
green,0.8534,"CEFR,Corpus,Taiwan",4.0,1683,733
etc,0.8533,"CEFR,Corpus,Taiwan",4.0,1331,1603
favorite,0.8533,"CEFR,Corpus,Taiwan",4.0,1450,1311
circle,0.8532,"CEFR,Corpus,Taiwan",4.0,686,3201
feed,0.853,"CEFR,Corpus,Taiwan",4.0,1461,1293
index,0.8528,"CEFR,Corpus,Taiwan",4.0,1875,276
flash,0.8528,"CEFR,Corpus,Taiwan",4.0,1512,1174
global,0.8526,"CEFR,Corpus,Taiwan",4.0,1643,857
image,0.8525,"CEFR,Corpus,Taiwan",4.0,1839,376
expected,0.8524,"CEFR,Corpus,Taiwan",4.0,1379,1516
into,0.8523,"CEFR,Corpus,Taiwan",4.0,1948,114
chocolate,0.8521,"CEFR,Corpus,Taiwan",4.0,674,3267
employee,0.8521,"CEFR,Corpus,Taiwan",4.0,1271,1792
girl,0.8519,"CEFR,Corpus,Taiwan",4.0,1634,902
hot,0.8519,"CEFR,Corpus,Taiwan",4.0,1802,487
however,0.8519,"CEFR,Corpus,Taiwan",4.0,1811,466
easily,0.8519,"CEFR,Corpus,Taiwan",4.0,1211,1949
follow,0.8518,"CEFR,Corpus,Taiwan",4.0,1529,1164
except,0.8518,"CEFR,Corpus,Taiwan",4.0,1359,1585
driving,0.8516,"CEFR,Corpus,Taiwan",4.0,1185,2023
bright,0.8515,"CEFR,Corpus,Taiwan",4.0,484,3757
including,0.8515,"CEFR,Corpus,Taiwan",4.0,1867,341
human,0.8512,"CEFR,Corpus,Taiwan",4.0,1814,481
contemporary,0.8512,"CEFR,Corpus,Taiwan",4.0,847,2871
convention,0.8512,"CEFR,Corpus,Taiwan",4.0,864,2829
determined,0.8512,"CEFR,Corpus,Taiwan",4.0,1067,2328
edge,0.8512,"CEFR,Corpus,Taiwan",4.0,1219,1953
competitive,0.8508,"CEFR,Corpus,Taiwan",4.0,783,3041
head,0.8507,"CEFR,Corpus,Taiwan",4.0,1735,692
foreign,0.8504,"CEFR,Corpus,Taiwan",4.0,1539,1188
blank,0.8502,"CEFR,Corpus,Taiwan",4.0,419,3961
concerned,0.8501,"CEFR,Corpus,Taiwan",4.0,800,3025
focus,0.85,"CEFR,Corpus,Taiwan",4.0,1527,1230
international,0.8497,"CEFR,Corpus,Taiwan",4.0,1942,215
include,0.8497,"CEFR,Corpus,Taiwan",4.0,1864,408
emergency,0.8492,"CEFR,Corpus,Taiwan",4.0,1263,1909
effort,0.8491,"CEFR,Corpus,Taiwan",4.0,1231,1992
eye,0.8489,"CEFR,Corpus,Taiwan",4.0,1406,1566
internet,0.8486,"CEFR,Corpus,Taiwan",4.0,1943,248
ending,0.8484,"CEFR,Corpus,Taiwan",4.0,1282,1888
arrival,0.8479,"CEFR,Corpus,Taiwan",4.0,238,4484
desk,0.8479,"CEFR,Corpus,Taiwan",4.0,1055,2467
belt,0.8479,"CEFR,Corpus,Taiwan",4.0,386,4121
depth,0.8478,"CEFR,Corpus,Taiwan",4.0,1043,2499
broadcast,0.8477,"CEFR,Corpus,Taiwan",4.0,495,3856
direction,0.8477,"CEFR,Corpus,Taiwan",4.0,1096,2372
just,0.8476,"CEFR,Corpus,Taiwan",4.0,2013,109
item,0.8475,"CEFR,Corpus,Taiwan",4.0,1972,214
drop,0.8474,"CEFR,Corpus,Taiwan",4.0,1186,2158
january,0.8474,"CEFR,Corpus,Taiwan",4.0,1981,194
concern,0.8474,"CEFR,Corpus,Taiwan",4.0,799,3115
cycle,0.8474,"CEFR,Corpus,Taiwan",4.0,968,2698
eastern,0.8472,"CEFR,Corpus,Taiwan",4.0,1213,2098
gas,0.8472,"CEFR,Corpus,Taiwan",4.0,1610,1119
foundation,0.8472,"CEFR,Corpus,Taiwan",4.0,1557,1250
domestic,0.8469,"CEFR,Corpus,Taiwan",4.0,1157,2249
disc,0.8467,"CEFR,Corpus,Taiwan",4.0,1116,2355
catch,0.8467,"CEFR,Corpus,Taiwan",4.0,599,3635
conflict,0.8465,"CEFR,Corpus,Taiwan",4.0,815,3106
bone,0.8461,"CEFR,Corpus,Taiwan",4.0,437,4053
fund,0.8461,"CEFR,Corpus,Taiwan",4.0,1592,1200
aspect,0.8461,"CEFR,Corpus,Taiwan",4.0,261,4489
dollar,0.846,"CEFR,Corpus,Taiwan",4.0,1155,2282
chamber,0.846,"CEFR,Corpus,Taiwan",4.0,627,3588
half,0.8459,"CEFR,Corpus,Taiwan",4.0,1704,928
industry,0.8459,"CEFR,Corpus,Taiwan",4.0,1886,479
furniture,0.8459,"CEFR,Corpus,Taiwan",4.0,1598,1191
important,0.8458,"CEFR,Corpus,Taiwan",4.0,1849,573
friendly,0.8458,"CEFR,Corpus,Taiwan",4.0,1574,1254
bottle,0.8458,"CEFR,Corpus,Taiwan",4.0,451,4030
betting,0.8457,"CEFR,Corpus,Taiwan",4.0,396,4167
insurance,0.8456,"CEFR,Corpus,Taiwan",4.0,1929,383
comedy,0.8454,"CEFR,Corpus,Taiwan",4.0,746,3313
concerning,0.8453,"CEFR,Corpus,Taiwan",4.0,801,3181
calculate,0.8449,"CEFR,Corpus,Taiwan",4.0,535,3852
fair,0.8448,"CEFR,Corpus,Taiwan",4.0,1420,1667
growth,0.8446,"CEFR,Corpus,Taiwan",4.0,1690,1009
fitness,0.8444,"CEFR,Corpus,Taiwan",4.0,1506,1469
draft,0.8444,"CEFR,Corpus,Taiwan",4.0,1171,2298
heart,0.8443,"CEFR,Corpus,Taiwan",4.0,1742,889
enable,0.8443,"CEFR,Corpus,Taiwan",4.0,1276,2041
last,0.8441,"CEFR,Corpus,Taiwan",4.0,2054,126
hardware,0.8438,"CEFR,Corpus,Taiwan",4.0,1721,957
commitment,0.8436,"CEFR,Corpus,Taiwan",4.0,768,3318
achievement,0.8436,"CEFR,Corpus,Taiwan",4.0,37,5127
know,0.8431,"CEFR,Corpus,Taiwan",4.0,2037,201
fee,0.843,"CEFR,Corpus,Taiwan",4.0,1460,1630
forward,0.8427,"CEFR,Corpus,Taiwan",4.0,1555,1403
chicken,0.8426,"CEFR,Corpus,Taiwan",4.0,666,3605
cream,0.8426,"CEFR,Corpus,Taiwan",4.0,915,2990
disk,0.8425,"CEFR,Corpus,Taiwan",4.0,1131,2458
fat,0.8422,"CEFR,Corpus,Taiwan",4.0,1446,1690
daughter,0.8422,"CEFR,Corpus,Taiwan",4.0,984,2832
football,0.8422,"CEFR,Corpus,Taiwan",4.0,1534,1474
father,0.8421,"CEFR,Corpus,Taiwan",4.0,1447,1692
farm,0.8421,"CEFR,Corpus,Taiwan",4.0,1437,1717
election,0.842,"CEFR,Corpus,Taiwan",4.0,1243,2198
fish,0.8418,"CEFR,Corpus,Taiwan",4.0,1503,1563
blind,0.8416,"CEFR,Corpus,Taiwan",4.0,420,4246
fan,0.8416,"CEFR,Corpus,Taiwan",4.0,1432,1746
cook,0.8415,"CEFR,Corpus,Taiwan",4.0,869,3139
concert,0.8414,"CEFR,Corpus,Taiwan",4.0,802,3307
floor,0.8414,"CEFR,Corpus,Taiwan",4.0,1520,1533
like,0.8414,"CEFR,Corpus,Taiwan",4.0,2102,96
atmosphere,0.8413,"CEFR,Corpus,Taiwan",4.0,274,4616
dream,0.8411,"CEFR,Corpus,Taiwan",4.0,1178,2390
element,0.8408,"CEFR,Corpus,Taiwan",4.0,1250,2222
list,0.8403,"CEFR,Corpus,Taiwan",4.0,2113,107
glass,0.84,"CEFR,Corpus,Taiwan",4.0,1642,1279
bet,0.84,"CEFR,Corpus,Taiwan",4.0,394,4364
job,0.8396,"CEFR,Corpus,Taiwan",4.0,1991,429
appreciate,0.8396,"CEFR,Corpus,Taiwan",4.0,210,4831
confidence,0.8394,"CEFR,Corpus,Taiwan",4.0,810,3355
finally,0.8393,"CEFR,Corpus,Taiwan",4.0,1491,1677
join,0.8391,"CEFR,Corpus,Taiwan",4.0,1994,439
holiday,0.839,"CEFR,Corpus,Taiwan",4.0,1784,961
confirm,0.839,"CEFR,Corpus,Taiwan",4.0,814,3358
classroom,0.839,"CEFR,Corpus,Taiwan",4.0,697,3648
cooking,0.8389,"CEFR,Corpus,Taiwan",4.0,872,3219
chip,0.8389,"CEFR,Corpus,Taiwan",4.0,673,3712
castle,0.8388,"CEFR,Corpus,Taiwan",4.0,596,3905
busy,0.8387,"CEFR,Corpus,Taiwan",4.0,523,4087
life,0.8386,"CEFR,Corpus,Taiwan",4.0,2098,200
camping,0.8385,"CEFR,Corpus,Taiwan",4.0,554,4018
constant,0.8383,"CEFR,Corpus,Taiwan",4.0,837,3325
essential,0.838,"CEFR,Corpus,Taiwan",4.0,1324,2131
controlled,0.8379,"CEFR,Corpus,Taiwan",4.0,862,3276
capture,0.8377,"CEFR,Corpus,Taiwan",4.0,570,4006
armed,0.8375,"CEFR,Corpus,Taiwan",4.0,231,4848
law,0.8374,"CEFR,Corpus,Taiwan",4.0,2060,332
exercise,0.8373,"CEFR,Corpus,Taiwan",4.0,1370,2042
electrical,0.8372,"CEFR,Corpus,Taiwan",4.0,1245,2353
despite,0.8372,"CEFR,Corpus,Taiwan",4.0,1059,2813
line,0.8371,"CEFR,Corpus,Taiwan",4.0,2106,228
june,0.8371,"CEFR,Corpus,Taiwan",4.0,2010,467
fashion,0.837,"CEFR,Corpus,Taiwan",4.0,1442,1873
interest,0.837,"CEFR,Corpus,Taiwan",4.0,1936,653
duty,0.8365,"CEFR,Corpus,Taiwan",4.0,1200,2487
dry,0.8365,"CEFR,Corpus,Taiwan",4.0,1192,2507
july,0.8364,"CEFR,Corpus,Taiwan",4.0,2007,498
cotton,0.8361,"CEFR,Corpus,Taiwan",4.0,887,3274
issue,0.8361,"CEFR,Corpus,Taiwan",4.0,1968,604
eight,0.8355,"CEFR,Corpus,Taiwan",4.0,1233,2439
link,0.8354,"CEFR,Corpus,Taiwan",4.0,2108,282
individual,0.8353,"CEFR,Corpus,Taiwan",4.0,1882,842
captain,0.8353,"CEFR,Corpus,Taiwan",4.0,569,4088
local,0.8352,"CEFR,Corpus,Taiwan",4.0,2129,237
flat,0.835,"CEFR,Corpus,Taiwan",4.0,1513,1766
ground,0.8347,"CEFR,Corpus,Taiwan",4.0,1686,1346
hope,0.8345,"CEFR,Corpus,Taiwan",4.0,1794,1086
happy,0.8345,"CEFR,Corpus,Taiwan",4.0,1716,1280
large,0.8344,"CEFR,Corpus,Taiwan",4.0,2049,462
flow,0.8342,"CEFR,Corpus,Taiwan",4.0,1523,1767
contribute,0.8341,"CEFR,Corpus,Taiwan",4.0,859,3410
level,0.834,"CEFR,Corpus,Taiwan",4.0,2093,364
make,0.834,"CEFR,Corpus,Taiwan",4.0,2187,132
hall,0.8338,"CEFR,Corpus,Taiwan",4.0,1705,1329
hi,0.8338,"CEFR,Corpus,Taiwan",4.0,1763,1186
learn,0.8338,"CEFR,Corpus,Taiwan",4.0,2072,424
key,0.8334,"CEFR,Corpus,Taiwan",4.0,2018,569
long,0.8334,"CEFR,Corpus,Taiwan",4.0,2142,264
consideration,0.8334,"CEFR,Corpus,Taiwan",4.0,833,3500
continuous,0.8333,"CEFR,Corpus,Taiwan",4.0,854,3450
may,0.8333,"CEFR,Corpus,Taiwan",4.0,2228,55
equal,0.8333,"CEFR,Corpus,Taiwan",4.0,1316,2309
cake,0.8333,"CEFR,Corpus,Taiwan",4.0,534,4242
crazy,0.8332,"CEFR,Corpus,Taiwan",4.0,914,3304
hair,0.8332,"CEFR,Corpus,Taiwan",4.0,1702,1357
firm,0.8332,"CEFR,Corpus,Taiwan",4.0,1501,1854
grand,0.833,"CEFR,Corpus,Taiwan",4.0,1668,1450
expert,0.8328,"CEFR,Corpus,Taiwan",4.0,1385,2155
hour,0.8328,"CEFR,Corpus,Taiwan",4.0,1805,1118
mail,0.8327,"CEFR,Corpus,Taiwan",4.0,2179,195
factor,0.8327,"CEFR,Corpus,Taiwan",4.0,1413,2090
left,0.8325,"CEFR,Corpus,Taiwan",4.0,2080,448
me,0.8321,"CEFR,Corpus,Taiwan",4.0,2231,89
increase,0.832,"CEFR,Corpus,Taiwan",4.0,1869,985
fully,0.8317,"CEFR,Corpus,Taiwan",4.0,1587,1691
huge,0.8317,"CEFR,Corpus,Taiwan",4.0,1813,1133
location,0.8317,"CEFR,Corpus,Taiwan",4.0,2132,346
comfortable,0.8315,"CEFR,Corpus,Taiwan",4.0,758,3746
language,0.8314,"CEFR,Corpus,Taiwan",4.0,2048,562
many,0.8314,"CEFR,Corpus,Taiwan",4.0,2201,184
management,0.8313,"CEFR,Corpus,Taiwan",4.0,2194,205
grade,0.8313,"CEFR,Corpus,Taiwan",4.0,1663,1518
income,0.831,"CEFR,Corpus,Taiwan",4.0,1868,1021
map,0.831,"CEFR,Corpus,Taiwan",4.0,2202,197
little,0.8309,"CEFR,Corpus,Taiwan",4.0,2121,398
island,0.8309,"CEFR,Corpus,Taiwan",4.0,1966,781
keep,0.8309,"CEFR,Corpus,Taiwan",4.0,2017,656
drink,0.8308,"CEFR,Corpus,Taiwan",4.0,1182,2724
cinema,0.8307,"CEFR,Corpus,Taiwan",4.0,685,3953
hill,0.8307,"CEFR,Corpus,Taiwan",4.0,1771,1271
library,0.8307,"CEFR,Corpus,Taiwan",4.0,2095,471
carefully,0.8307,"CEFR,Corpus,Taiwan",4.0,580,4215
fit,0.8306,"CEFR,Corpus,Taiwan",4.0,1505,1931
capable,0.8302,"CEFR,Corpus,Taiwan",4.0,566,4264
goods,0.8301,"CEFR,Corpus,Taiwan",4.0,1656,1574
cabinet,0.8301,"CEFR,Corpus,Taiwan",4.0,532,4353
latest,0.83,"CEFR,Corpus,Taiwan",4.0,2057,588
contest,0.8298,"CEFR,Corpus,Taiwan",4.0,850,3575
guest,0.8298,"CEFR,Corpus,Taiwan",4.0,1694,1490
hold,0.8298,"CEFR,Corpus,Taiwan",4.0,1782,1275
evening,0.8296,"CEFR,Corpus,Taiwan",4.0,1338,2378
forest,0.8296,"CEFR,Corpus,Taiwan",4.0,1540,1879
dinner,0.8294,"CEFR,Corpus,Taiwan",4.0,1094,2986
legal,0.8294,"CEFR,Corpus,Taiwan",4.0,2082,546
less,0.8293,"CEFR,Corpus,Taiwan",4.0,2088,535
describe,0.8291,"CEFR,Corpus,Taiwan",4.0,1046,3114
love,0.8291,"CEFR,Corpus,Taiwan",4.0,2157,370
live,0.829,"CEFR,Corpus,Taiwan",4.0,2122,461
let,0.8289,"CEFR,Corpus,Taiwan",4.0,2090,543
fishing,0.8289,"CEFR,Corpus,Taiwan",4.0,1504,1991
expect,0.8283,"CEFR,Corpus,Taiwan",4.0,1377,2323
eat,0.8282,"CEFR,Corpus,Taiwan",4.0,1215,2728
message,0.8281,"CEFR,Corpus,Taiwan",4.0,2260,149
low,0.8279,"CEFR,Corpus,Taiwan",4.0,2160,402
look,0.8278,"CEFR,Corpus,Taiwan",4.0,2144,446
debate,0.8278,"CEFR,Corpus,Taiwan",4.0,996,3284
idea,0.8277,"CEFR,Corpus,Taiwan",4.0,1826,1234
contribution,0.8276,"CEFR,Corpus,Taiwan",4.0,860,3626
faith,0.8275,"CEFR,Corpus,Taiwan",4.0,1422,2241
main,0.8272,"CEFR,Corpus,Taiwan",4.0,2181,373
discover,0.8272,"CEFR,Corpus,Taiwan",4.0,1120,2995
more,0.827,"CEFR,Corpus,Taiwan",4.0,2324,28
dress,0.8267,"CEFR,Corpus,Taiwan",4.0,1179,2868
failure,0.8266,"CEFR,Corpus,Taiwan",4.0,1418,2278
member,0.8266,"CEFR,Corpus,Taiwan",4.0,2249,226
institute,0.8265,"CEFR,Corpus,Taiwan",4.0,1920,1043
extension,0.8264,"CEFR,Corpus,Taiwan",4.0,1398,2335
hospital,0.8264,"CEFR,Corpus,Taiwan",4.0,1799,1345
foot,0.8262,"CEFR,Corpus,Taiwan",4.0,1533,2008
dot,0.8261,"CEFR,Corpus,Taiwan",4.0,1161,2930
light,0.826,"CEFR,Corpus,Taiwan",4.0,2100,613
boss,0.826,"CEFR,Corpus,Taiwan",4.0,447,4699
flight,0.8258,"CEFR,Corpus,Taiwan",4.0,1517,2061
adopt,0.8257,"CEFR,Corpus,Taiwan",4.0,70,5639
inside,0.8257,"CEFR,Corpus,Taiwan",4.0,1912,1090
concrete,0.8254,"CEFR,Corpus,Taiwan",4.0,805,3834
alphabetical,0.8254,"CEFR,Corpus,Taiwan",4.0,132,5497
land,0.8252,"CEFR,Corpus,Taiwan",4.0,2046,773
man,0.8252,"CEFR,Corpus,Taiwan",4.0,2192,413
gear,0.8252,"CEFR,Corpus,Taiwan",4.0,1614,1842
least,0.8251,"CEFR,Corpus,Taiwan",4.0,2074,710
cheese,0.8249,"CEFR,Corpus,Taiwan",4.0,658,4213
horse,0.8248,"CEFR,Corpus,Taiwan",4.0,1798,1401
exactly,0.8248,"CEFR,Corpus,Taiwan",4.0,1351,2506
my,0.8241,"CEFR,Corpus,Taiwan",4.0,2358,39
grant,0.824,"CEFR,Corpus,Taiwan",4.0,1675,1732
media,0.824,"CEFR,Corpus,Taiwan",4.0,2242,331
